"Table S2: Transcription factor influence score in the early response to IRI",,,,,,,
,"gene","gene_score","influence_score","num_vertices","num_v_activated","prop_activated","final_score"
1,"FOS",5.3291371,6.8318112421033,849,64,0.08,20.0097444852914
2,"FOSB",6.7547304,8.79496244396677,122,16,0.13,18.3494563553853
3,"ATF3",5.6122749,7.29470802619329,199,40,0.2,16.769461987525
4,"JUN",4.0551042,5.47304935081142,1106,65,0.06,16.6586220216848
5,"EGR1",4.2100114,5.79729502611545,468,40,0.09,15.480203002532
6,"EGR2",4.1718434,6.39050038448775,200,16,0.08,14.7047330720085
7,"KLF4",4.1403738,6.06280163074862,240,14,0.06,14.4307485977753
8,"IL6",3.368124,4.89086997144879,621,49,0.08,13.6606478348095
9,"NR4A2",3.1181337,5.81101599308947,136,12,0.09,12.398028718418
10,"NR4A1",3.3542761,5.4592818114549,177,20,0.11,12.2723195656859
11,"IFNG",3.2949389,5.18509496575984,219,11,0.05,12.1354249974997
12,"JUNB",2.7817329,4.77493601930505,272,21,0.08,11.6249107513529
13,"ZFP36",3.7357848,5.76333682607351,93,12,0.13,11.3450302688987
14,"EGR3",3.0168249,4.90480905112489,152,15,0.1,10.7015261782903
15,"MYC",2.1367191,3.54135479104606,837,45,0.05,10.3504078035767
16,"EGR4",4.0804641,7.05796992052481,28,6,0.22,10.2139978554593
17,"FOSL1",2.5554528,4.51430688250293,179,20,0.11,10.1700699430201
18,"KLF6",2.7947653,5.55843209555048,63,9,0.15,10.0015122609082
19,"IRF1",2.4215618,4.08366829825213,229,23,0.1,9.63678534832193
20,"JUND",2.0825694,3.76039983972404,356,25,0.07,9.59447216344111
21,"BTG2",3.1745672,5.33552916219155,58,14,0.25,9.40882148507998
22,"DDIT3",2.5138069,4.30011836640398,128,17,0.13,9.06125229235237
23,"CDKN1A",1.8066044,3.29936461036906,532,30,0.06,8.99377637058763
24,"MAFF",2.5900423,5.35370911128615,39,8,0.21,8.51809708328269
25,"KLF2",2.7978633,4.20835574477649,102,9,0.09,8.45290407179331
26,"SNAI1",1.9781794,3.3805129889041,270,12,0.04,8.21925678549023
27,"NR0B2",2.0520926,3.71742357127243,161,14,0.09,8.20370652925473
28,"NR4A3",2.7973186,5.07019320727657,41,5,0.12,8.17712575514572
29,"OSR2",4.9333425,5.39127673006539,32,0,0,8.11468005337454
30,"KLF10",1.9185529,4.69637655884155,41,7,0.18,7.57424029917663
31,"CEBPD",1.347393,3.41915337437428,149,13,0.09,7.43045716278567
32,"SOX9",1.1548494,3.031163037679,261,8,0.03,7.32523138120161
33,"CEBPB",1.0423205,3.06987260081112,242,23,0.1,7.31800947741586
34,"TNFAIP3",2.392967,3.50031076796353,101,7,0.07,7.01574768711084
35,"SRF",0.6145477,2.6463632441478,410,21,0.05,6.91437516332585
36,"HIST1H2BG",2.2195839,3.33819962879035,113,9,0.08,6.85358569791382
37,"IL1B",0.9848144,2.77849884178077,271,29,0.11,6.76000235678271
38,"GATA6",0.9405672,2.99796361407508,176,11,0.06,6.73196527305148
39,"NFKBIA",1.2448956,2.68137345895101,312,21,0.07,6.68775993092178
40,"FOXJ1",2.0902404,3.08324328230782,93,2,0.02,6.06931182746641
41,"BMP2",0.8026104,2.3160885322921,414,14,0.03,6.06120447907462
42,"HSF2",0.3803914,2.7901533355875,147,14,0.1,6.04714769082422
43,"FOSL2",0.9040066,2.98520786389609,96,12,0.13,5.91749167324472
44,"KLF5",0.7988028,2.86472623203722,110,8,0.07,5.84803117506165
45,"BATF3",1.0182602,2.98214369867813,90,7,0.08,5.82783198521342
46,"BCL6",1.0708269,2.44004936833814,240,15,0.06,5.80783293684974
47,"REL",0.8435643,2.36857516287009,279,29,0.1,5.79259737408454
48,"ATF4",0.7342548,2.43386876127479,203,20,0.1,5.61614252344233
49,"BHLHE40",2.1122641,3.02097044332515,72,6,0.08,5.61094657514617
50,"CEBPG",0.1935381,2.68362735343353,119,13,0.11,5.56999459892885
51,"NR1D1",1.5060298,2.96450962732073,73,7,0.1,5.52383855763388
52,"NFKBIZ",2.9803993,3.64848596424103,32,2,0.06,5.49151856997786
53,"TSC22D3",1.1805081,3.27176181497817,46,5,0.11,5.44014758125168
54,"CREM",0.5263856,2.1444880220918,326,21,0.06,5.389565040256
55,"MAFG",0.4775382,3.21289124971315,44,11,0.26,5.28023472360012
56,"SIRT1",0.4436301,1.92462672646245,511,25,0.05,5.21269925090876
57,"MEF2D",0.3233747,2.24580259037148,209,10,0.05,5.21059053938899
58,"BCL3",0.9800959,2.44128403035211,113,10,0.09,5.01214761713624
59,"MSX1",0.9320296,2.20610789530796,173,4,0.02,4.93737117817566
60,"NFKB2",0.7108607,2.26396828911613,147,18,0.12,4.90673771832157
61,"ELF3",1.6600916,2.72845111086026,60,4,0.07,4.85159875438681
62,"ETS2",0.4732399,2.24611771250402,140,10,0.07,4.82045619423835
63,"NFIL3",1.5814187,2.94339003527373,39,9,0.24,4.68312370979851
64,"SMAD7",0.3580953,1.90703300258269,229,16,0.07,4.50028414548782
65,"DEDD2",1.0484321,2.86966772619345,37,7,0.19,4.50021787571599
66,"HIST1H2BN",0.913805,2.1051002247203,137,10,0.07,4.49801094608543
67,"TGIF1",1.1512286,2.48329658748233,62,4,0.07,4.4510401659627
68,"RELB",0.6976546,2.14221147068573,118,17,0.15,4.43840940195855
69,"PER1",1.4718844,2.44997965022874,57,5,0.09,4.30185766474593
70,"HES1",1.1038703,2.06449998520764,121,4,0.03,4.29991036620901
71,"MXD1",1.872327,2.7591287244449,35,1,0.03,4.2602824936643
72,"JDP2",0.782453,2.09294169736145,83,5,0.06,4.01651856002675
73,"ZFP36L1",1.1945585,2.57076923217526,36,3,0.09,4.00089458492996
74,"HIST1H1C",0.8007476,1.89909232791865,126,13,0.1,3.98879758801907
75,"PER2",1.2349828,2.13186126550381,74,6,0.08,3.98494269954554
76,"ZNF165",2.4803179,3.05756931498765,20,1,0.05,3.97798939262071
77,"IRF8",0.6656958,1.81950812865003,139,9,0.07,3.89923284887965
78,"HIST2H2BE",0.7397993,1.82538513663014,121,8,0.07,3.80188545776634
79,"GTF2B",0.356604,1.51041637015769,294,9,0.03,3.72823221508956
80,"NKRF",0.2934338,2.19906448133877,44,5,0.12,3.61405840762192
81,"NFYA",0.3976482,1.58894346696811,159,9,0.06,3.49789557889136
82,"MAFK",0.8589847,2.3684106987753,29,3,0.11,3.46355906409146
83,"ERF",0.6485514,2.29409208224772,32,5,0.16,3.45295264785902
84,"ETV3",0.3736073,2.08281658450216,45,4,0.09,3.4433384413978
85,"TOB1",1.3485322,1.90290653304478,63,2,0.03,3.4239768867276
86,"TBP",0.2095371,1.25082175550408,504,21,0.04,3.38025890772462
87,"MED6",0.2263323,1.59827399013058,130,4,0.03,3.37866067660146
88,"ZNF335",0.3011583,2.29587512601156,28,1,0.04,3.32249412756646
89,"SERTAD1",1.6949086,2.56187516201672,19,2,0.11,3.2760070886205
90,"TBPL1",0.2294942,1.35514524041349,217,13,0.06,3.1662422877426
91,"KDM2A",0.5650764,1.09255112910137,761,14,0.02,3.14806006013005
92,"ELL",0.6207828,1.46056492981206,138,3,0.02,3.12543234763592
93,"TFAP2C",0.9563753,1.94220613559368,39,3,0.08,3.09017544189281
94,"KLF9",0.5998914,2.23823058767854,24,2,0.09,3.08923101865669
95,"FOXQ1",0.9750144,1.75911095966702,57,1,0.02,3.08877870241723
96,"CITED2",1.2466529,1.80519381667441,48,1,0.02,3.03496628604845
97,"ARID4A",0.2158055,1.31189601293008,199,11,0.06,3.01585618525394
98,"ID2",0.5491732,1.48274179941405,108,5,0.05,3.015042398182
99,"CHD1",0.3324276,1.32138207588069,166,6,0.04,2.93361103405387
100,"NFYC",0.184138,1.32793427855664,116,8,0.07,2.74146453053454
101,"KDM5B",0.2392599,1.24216957753558,156,9,0.06,2.72423265582084
102,"POLR2A",0.2064231,0.910236924126927,725,12,0.02,2.60358526906453
103,"ZNF331",1.4069664,1.98300009678417,20,1,0.05,2.57994260732079
104,"ZFAND5",0.8314899,1.73578651116784,27,2,0.08,2.4845419144016
105,"SF1",0.1989956,1.12231779967282,150,4,0.03,2.44226595375063
106,"TAL1",0.4421522,1.20647706657807,102,3,0.03,2.42333004315553
107,"ING1",0.4931795,1.17892642870777,103,4,0.04,2.37298700089174
108,"TOE1",0.485444,1.5454224854415,34,2,0.06,2.36678195437669
109,"DDX5",0.5143699,0.976712526631054,262,3,0.01,2.36198516440005
110,"TSC22D1",1.0494375,1.55109704736618,33,1,0.03,2.35536248852898
111,"MDM4",0.2631599,1.23248505735922,77,4,0.05,2.32507162962184
112,"BACH1",0.2611611,1.53712337106481,32,3,0.1,2.31360120863322
113,"CBX4",0.7425549,1.12783818752446,105,1,0.01,2.27957447570686
114,"BHLHE41",0.5285397,1.3192490459982,49,5,0.1,2.22978956612751
115,"ZNF473",0.8231816,1.38117725915019,41,1,0.02,2.22754038682584
116,"NRF1",0.2462266,1.10877229614352,100,3,0.03,2.21754459228704
117,"ID4",0.794528,1.62755674956158,23,1,0.05,2.21628933057632
118,"SRSF3",0.4514693,0.935999050049863,204,2,0.01,2.16181164267715
119,"OVOL1",0.8781409,1.7877458338731,16,1,0.07,2.15266048247648
120,"EPC1",0.3780602,1.18325026932481,65,2,0.03,2.14513021751021
121,"ANKZF1",0.3233473,1.4364161613973,27,1,0.04,2.05603404367645
122,"LCOR",0.2205402,1.49273336364728,23,1,0.05,2.03269657303067
123,"YBX3",0.4626743,1.00500064426755,98,2,0.02,2.00118348895331
124,"ZNF648",1.2587489,1.67555924728831,15,0,0,1.97061058476569
125,"SIX4",0.4966241,1.2429493068392,38,1,0.03,1.9635909263708
126,"SRSF5",0.3297378,0.779188666408079,285,3,0.01,1.91278729270876
127,"ZNF460",0.9996496,1.57568325150327,16,1,0.07,1.89731168947134
128,"HINFP",0.3473181,1.13693917855617,44,2,0.05,1.86850573600015
129,"ZNF184",1.0179021,1.57589771164268,15,1,0.07,1.8533995238288
130,"KLF16",0.6675629,1.06195564682674,55,0,0,1.84818798563498
131,"POLR3D",0.291693,0.900687784083232,111,3,0.03,1.84219742149787
132,"TAF1A",0.4007895,0.997060558807706,69,2,0.03,1.83344390197353
133,"E2F6",0.3241836,0.863259198741509,128,2,0.02,1.81906838997834
134,"ZNF217",0.3553359,0.949407605086353,79,2,0.03,1.80162159208904
135,"ZNF597",0.6065035,1.16449918096697,32,1,0.03,1.75274591698599
136,"UIMC1",0.4864965,0.921977396901891,79,1,0.01,1.74956928591847
137,"ZNF669",0.7575571,1.33359073795647,20,1,0.05,1.73504155202103
138,"CBX8",0.6013274,0.903484185844333,74,0,0,1.68882129845554
139,"ZBTB2",0.567126,1.08904555385391,35,1,0.03,1.68156043854757
140,"ZNF202",0.267603,1.07554325176507,34,1,0.03,1.64717181444528
141,"ZBTB21",0.4631612,1.08622067803473,32,1,0.03,1.63492502999461
142,"IKZF4",0.4845848,1.03074520970017,37,1,0.03,1.6164164149256
143,"TGIF2",0.2265882,1.18433887147639,23,1,0.05,1.61274720856706
144,"ZBTB5",0.361107,1.17705145170697,23,2,0.09,1.6028237262143
145,"NR6A1",0.3694837,1.08216997108079,30,1,0.03,1.5984962655028
146,"SERTAD3",0.9201734,1.76762770580547,8,1,0.14,1.59632688184246
147,"ZNF24",0.2098717,1.01039614482593,38,2,0.05,1.59620725568086
148,"RBMX",0.3072876,0.713089993686691,159,1,0.01,1.56979426148357
149,"NFX1",0.2305317,0.704693599700986,165,2,0.01,1.56264674292724
150,"ASB6",0.2630431,0.916345936635321,50,2,0.04,1.5568442599386
151,"TOPORS",0.1592208,0.736977390384086,128,2,0.02,1.55296610442241
152,"ZBTB43",0.4774247,1.05122823503179,30,1,0.03,1.5527915695269
153,"ZNF410",0.545242,1.10323764672473,24,1,0.04,1.52270100228894
154,"SOX4",0.6803415,1.07974294668263,25,0,0,1.50941586424908
155,"CNOT4",0.2080725,0.748030154221408,104,2,0.02,1.50880175986539
156,"JMJD1C",0.3827078,0.940703485187017,38,1,0.03,1.48610793517871
157,"ZNF256",0.7192691,1.29530281162456,14,1,0.08,1.48458286709575
158,"HIC2",0.6041335,1.02347492178167,28,0,0,1.48112995293369
159,"SNAPC1",0.4737911,0.880043347190528,48,1,0.02,1.47956516597476
160,"ARID5B",0.5753615,1.0792240846179,23,1,0.05,1.4696094773248
161,"ZNF77",0.4955464,1.07158008881242,23,1,0.05,1.45920043545808
162,"ELL2",0.5495728,0.886687497480206,44,1,0.02,1.45722894094068
163,"ZBTB10",0.5475638,1.06948341882336,23,1,0.05,1.45634534157103
164,"PLAGL2",0.6339281,1.03893127761705,25,0,0,1.45236359924163
165,"KLF11",0.3635375,0.885457068465039,41,1,0.02,1.4280508658388
166,"ZNF628",0.7901224,1.20693271372375,15,0,0,1.41946301487885
167,"KLF3",0.2818841,0.929670518713192,33,1,0.03,1.41171764215949
168,"SFPQ",0.2711495,0.689336442990822,106,2,0.02,1.39611714113007
169,"RNF19A",0.3258473,0.843752353781174,45,1,0.02,1.39490194979844
170,"ZNF805",0.7523391,1.16914946194423,15,0,0,1.37502646272226
171,"RLF",0.5410038,1.11703747829022,17,1,0.06,1.37445756030131
172,"ZBTB48",0.5776099,0.979501045945231,25,0,0,1.36928370066295
173,"RBM39",0.2850902,0.678700521781858,100,2,0.02,1.35740104356372
174,"ZNF79",0.4123453,0.970340905158929,25,1,0.04,1.35647837337271
175,"ZNF267",0.6067054,1.18273910708664,14,1,0.08,1.35557044952504
176,"ZNF440",0.639288,1.21532163362948,13,1,0.08,1.35379945469625
177,"ZBTB49",0.6607578,1.07756815939384,18,0,0,1.35264168286187
178,"ZNF394",0.5671169,1.1431505532788,15,1,0.07,1.34444937349586
179,"ZNF57",0.5349049,1.11093857827993,16,1,0.07,1.33770334161023
180,"ZNF701",0.6196417,1.19567533156609,13,1,0.08,1.33191458711532
181,"SNIP1",0.4125717,0.769738811434797,51,1,0.02,1.31438303779113
182,"ZNF670",0.5448719,1.12090560479642,14,1,0.08,1.28470133900605
183,"PNN",0.3587379,0.834582831131024,34,1,0.03,1.2781460104026
184,"SOX7",0.3277594,1.10411177219907,14,1,0.08,1.26545345663974
185,"PRDM2",0.1817993,0.793032513321026,39,1,0.03,1.26176596416636
186,"GMEB1",0.2875087,0.863552520906329,27,1,0.04,1.23605778687347
187,"ZNF3",0.3512724,0.927306080818575,21,1,0.05,1.22610199218241
188,"ZNF222",0.482546,1.04054164805172,15,1,0.07,1.22377193695702
189,"BTG1",0.4486426,0.905294500110638,22,1,0.05,1.21528786977212
190,"ZNF574",0.4553237,1.03135739206422,15,1,0.07,1.21297041376919
191,"ZNF10",0.5247343,0.911706349810111,21,0,0,1.20547572685036
192,"ZNF20",0.4701283,1.04616195708458,14,1,0.08,1.19903554887466
193,"BCLAF1",0.2108676,0.832046340956932,27,2,0.08,1.19096098254683
194,"RYBP",0.2299155,0.673442667989714,53,1,0.02,1.16120094197424
195,"GTF2H1",0.2393074,0.519237300044786,170,1,0.01,1.15813227582426
196,"ZNF14",0.3480699,0.888027555662809,20,1,0.05,1.15535048689348
197,"ZNF426",0.3615028,0.919498452697899,18,1,0.06,1.15422112615671
198,"ING3",0.3408956,0.562710589618296,108,1,0.01,1.14422908039391
199,"SAP30BP",0.2981133,0.64337682481919,58,1,0.02,1.1345487032958
200,"ZNF442",0.4241141,1.00014774398877,13,1,0.08,1.11410793074097
201,"DEDD",0.2242753,0.699028955883951,39,0,0,1.11220023099364
202,"RLIM",0.2447167,0.773271735743338,27,1,0.04,1.10683314239134
203,"ZNF76",0.2133094,0.735228943869205,31,1,0.03,1.09649228308476
204,"ZNF136",0.3281362,0.904169867254136,16,1,0.07,1.08872900487606
205,"ZNF563",0.4261064,1.00214011104283,12,1,0.09,1.08149081374951
206,"ZNF131",0.2123546,0.752312213713563,27,1,0.04,1.07683244204383
207,"ZNF823",0.3811899,0.939185545566585,14,1,0.08,1.07642688447762
208,"MYNN",0.2864883,0.790369859518342,23,1,0.05,1.07626863845544
209,"ZNF443",0.3029131,0.892013989574222,16,1,0.07,1.07409186965495
210,"ZNF138",0.2351086,0.775066182342479,24,1,0.04,1.06975505793959
211,"GZF1",0.4081363,0.795108328564797,22,0,0,1.06737145397602
212,"ZNF367",0.4644853,0.86637645227051,17,0,0,1.06603197120378
213,"ZNF418",0.3470121,0.923045766903236,14,1,0.08,1.05792863166192
214,"ZNF433",0.3414547,0.917488381016522,14,1,0.08,1.05155915589207
215,"ZNF254",0.2880585,0.846054150178435,17,1,0.06,1.04102641651467
216,"ZNF121",0.3272574,0.903291097719969,14,1,0.08,1.03528725147543
217,"ZNF408",0.3986883,0.770741209408063,22,0,0,1.03466048055372
218,"ZNF791",0.2014992,0.75949483528854,22,1,0.05,1.01956309285866
219,"ZXDB",0.331127,0.747937306877434,23,0,0,1.01848705037103
220,"ZNF700",0.3346053,0.910639005424964,13,1,0.08,1.01440026644445
221,"WBP11",0.1532866,0.658918896773752,34,1,0.03,1.00912039844974
222,"ZNF548",0.328142,0.904175705179122,13,1,0.08,1.00720051610163
223,"ZNF547",0.5436773,0.960487623225015,11,0,0,1.00024478501154
224,"ZNF764",0.3358215,0.752631816798356,21,0,0,0.995144310001431
225,"OVOL2",0.5667522,0.834359996884568,15,0,0,0.981283499241666
226,"NUFIP1",0.2847589,0.556338843543863,57,1,0.02,0.976861386612581
227,"ZNF7",0.183824,0.759857636316904,19,1,0.06,0.971670688651746
228,"ZNF35",0.3160898,0.732900108525059,21,0,0,0.969054664604416
229,"ZNF274",0.221726,0.608698078213229,38,0,0,0.961611239253435
230,"SERTAD2",0.3901882,1.00229789339983,9,1,0.12,0.956435257003599
231,"ZNF133",0.3726852,0.789495507538485,16,0,0,0.950647316844171
232,"ZNF140",0.2761269,0.779946282988921,16,0,0,0.939148904745172
233,"ZNF571",0.234771,0.810804670263126,13,1,0.08,0.903190472458946
234,"ZNF250",0.3137522,0.730562471466442,17,0,0,0.89891980501533
235,"ZNF211",0.3448737,0.761684004348352,15,0,0,0.895809899676626
236,"ZKSCAN5",0.2781215,0.694931814465022,18,0,0,0.872328799619494
237,"PHF21A",0.258744,0.486887122858325,60,0,0,0.865758946306226
238,"FOXJ3",0.2104028,0.509130743279543,48,0,0,0.855971600817251
239,"ZNF195",0.1834758,0.759509512311614,13,1,0.08,0.84605057225333
240,"IKZF5",0.2304255,0.572640200181783,28,0,0,0.828700864762483
241,"DZIP1L",0.5852037,0.765441246864035,12,0,0,0.826049838566977
242,"ZNF689",0.3088681,0.680921058250999,16,0,0,0.819910652851246
243,"ZNF324",0.2994683,0.716278575946584,13,0,0,0.797893758075505
244,"HKR1",0.2142227,0.63103298671126,17,0,0,0.77645385785298
245,"ZNF329",0.3267741,0.743584420779625,11,0,0,0.774363376597518
246,"ZCCHC4",0.2177209,0.591346228642948,20,0,0,0.769359181287247
247,"RBM7",0.3216826,0.558712129432378,23,0,0,0.760813858968733
248,"MTF2",0.1700544,0.429427333096944,59,0,0,0.760452256668845
249,"ZNF561",0.1997563,0.616566636621969,15,0,0,0.725138631956458
250,"ZNF438",0.2076222,0.624432477891401,12,0,0,0.673875819563448
251,"NRBF2",0.4614271,0.574241352166901,11,0,0,0.598010743661979
252,"PQBP1",0.2285354,0.364653362767346,20,0,0,0.474424962980056
253,"PNRC2",0.1573229,0.256820711739974,25,0,0,0.359019947996939
254,"ZNF821",0.4138997,0.520215897397066,4,0,0,0.313201178675546
